,player_name,total_points_sum,total_points_mean,total_points_std,total_points_max,total_points_min,batting_points_sum,batting_points_mean,bowling_points_sum,bowling_points_mean,fielding_points_sum,fielding_points_mean,runs_sum,runs_mean,runs_max,wickets_sum,wickets_mean,wickets_max,catches_sum,catches_mean,total_matches,points_per_match
0,A Ashish Reddy,1365.0,44.03225806451613,34.816168534143,139.0,-22.0,411.0,13.258064516129032,549.0,17.70967741935484,100.0,3.225806451612903,280,9.03225806451613,36,19,0.6129032258064516,3,8,0.25806451612903225,31,44.03225806451613
1,A Badoni,2225.0,39.732142857142854,36.371562853630365,139.0,-16.0,1337.0,23.875,138.0,2.4642857142857144,180.0,3.2142857142857144,963,17.196428571428573,74,4,0.07142857142857142,2,17,0.30357142857142855,55,40.45454545454545
2,A Chandila,732.0,61.0,79.38513714795737,280.0,-22.0,-11.0,-0.9166666666666666,543.0,45.25,20.0,1.6666666666666667,4,0.3333333333333333,4,11,0.9166666666666666,4,2,0.16666666666666666,12,61.0
3,A Chopra,135.0,19.285714285714285,13.375528471980534,42.0,3.0,20.0,2.857142857142857,0.0,0.0,30.0,4.285714285714286,53,7.571428571428571,24,0,0.0,0,2,0.2857142857142857,7,19.285714285714285
4,A Choudhary,190.0,38.0,31.184932259025352,87.0,6.0,13.0,2.6,152.0,30.4,0.0,0.0,25,5.0,15,5,1.0,2,0,0.0,5,38.0
5,A Dananjaya,-5.0,-5.0,,-5.0,-5.0,4.0,4.0,-14.0,-14.0,0.0,0.0,4,4.0,4,0,0.0,0,0,0.0,1,-5.0
6,A Flintoff,176.0,58.666666666666664,64.53164598345012,131.0,7.0,61.0,20.333333333333332,60.0,20.0,30.0,10.0,62,20.666666666666668,24,2,0.6666666666666666,1,3,1.0,3,58.666666666666664
7,A Kamboj,497.0,45.18181818181818,48.4330841095592,154.0,-21.0,18.0,1.6363636363636365,344.0,31.272727272727273,40.0,3.6363636363636362,16,1.4545454545454546,5,10,0.9090909090909091,3,4,0.36363636363636365,11,45.18181818181818
8,A Kumble,3067.0,73.02380952380952,88.87082653786791,328.0,-20.0,3.0,0.07142857142857142,2414.0,57.476190476190474,90.0,2.142857142857143,35,0.8333333333333334,8,49,1.1666666666666667,5,9,0.21428571428571427,38,80.71052631578948
9,A Manohar,933.0,34.55555555555556,34.80973927966064,156.0,-18.0,398.0,14.74074074074074,0.0,0.0,180.0,6.666666666666667,292,10.814814814814815,43,0,0.0,0,16,0.5925925925925926,27,34.55555555555556
10,A Mhatre,568.0,81.14285714285714,64.32062544116667,198.0,3.0,473.0,67.57142857142857,0.0,0.0,40.0,5.714285714285714,240,34.285714285714285,94,0,0.0,0,4,0.5714285714285714,7,81.14285714285714
11,A Mishra,10027.0,61.89506172839506,69.63138151891135,346.0,-29.0,202.0,1.2469135802469136,7365.0,45.46296296296296,290.0,1.7901234567901234,381,2.3518518518518516,31,183,1.1296296296296295,5,19,0.11728395061728394,157,63.86624203821656
12,A Mithun,400.0,25.0,31.709094384208875,95.0,-13.0,50.0,3.125,100.0,6.25,80.0,5.0,34,2.125,11,8,0.5,2,7,0.4375,13,30.76923076923077
13,A Mukund,55.0,18.333333333333332,15.275252316519467,35.0,5.0,0.0,0.0,0.0,0.0,30.0,10.0,19,6.333333333333333,19,0,0.0,0,3,1.0,3,18.333333333333332
14,A Nehra,6229.0,70.7840909090909,64.72975631954012,277.0,-22.0,11.0,0.125,4878.0,55.43181818181818,190.0,2.159090909090909,41,0.4659090909090909,22,121,1.375,5,17,0.19318181818181818,82,75.96341463414635
15,A Nel,22.0,22.0,,22.0,22.0,0.0,0.0,17.0,17.0,0.0,0.0,0,0.0,0,1,1.0,1,0,0.0,1,22.0
16,A Nortje,2830.0,58.958333333333336,52.5057072210264,245.0,-23.0,15.0,0.3125,2105.0,43.854166666666664,110.0,2.2916666666666665,49,1.0208333333333333,23,63,1.3125,4,10,0.20833333333333334,43,65.81395348837209
17,A Raghuvanshi,1046.0,47.54545454545455,35.21326491500079,130.0,5.0,766.0,34.81818181818182,0.0,0.0,60.0,2.727272727272727,463,21.045454545454547,54,0,0.0,0,6,0.2727272727272727,22,47.54545454545455
18,A Singh,1476.0,64.17391304347827,69.42206367503913,289.0,-24.0,2.0,0.08695652173913043,1179.0,51.26086956521739,10.0,0.43478260869565216,2,0.08695652173913043,1,31,1.3478260869565217,4,1,0.043478260869565216,23,64.17391304347827
19,A Symonds,2905.0,74.48717948717949,77.25994120836212,269.0,-23.0,1360.0,34.87179487179487,800.0,20.512820512820515,210.0,5.384615384615385,974,24.974358974358974,117,23,0.5897435897435898,3,20,0.5128205128205128,35,83.0
20,A Tomar,-5.0,-5.0,,-5.0,-5.0,-10.0,-10.0,0.0,0.0,0.0,0.0,4,4.0,4,0,0.0,0,0,0.0,1,-5.0
21,A Uniyal,77.0,38.5,102.5304832720494,111.0,-34.0,-11.0,-5.5,78.0,39.0,0.0,0.0,4,2.0,4,3,1.5,3,0,0.0,2,38.5
22,A Zampa,1410.0,64.0909090909091,89.63944130364399,416.0,-30.0,-39.0,-1.7727272727272727,1169.0,53.13636363636363,10.0,0.45454545454545453,15,0.6818181818181818,7,32,1.4545454545454546,6,1,0.045454545454545456,19,74.21052631578948
