player_name,match_id,batting_points,bowling_points,fielding_points,bonus_points,total_points,runs,wickets,catches,season,venue,date
CH Gayle,1,50.0,0.0,0.0,5.0,55.0,32,0,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
Mandeep Singh,1,39.0,0.0,10.0,5.0,54.0,24,0,1,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
TM Head,1,43.0,-20.0,0.0,5.0,28.0,30,0,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
KM Jadhav,1,62.0,0.0,0.0,5.0,67.0,31,0,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
SR Watson,1,25.0,-27.0,0.0,5.0,3.0,22,0,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
Sachin Baby,1,1.0,0.0,20.0,5.0,26.0,1,0,2,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
STR Binny,1,3.0,11.0,0.0,5.0,19.0,11,1,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
S Aravind,1,0.0,-28.0,0.0,5.0,-23.0,0,0,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
TS Mills,1,8.0,40.0,0.0,5.0,53.0,6,1,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
YS Chahal,1,-12.0,45.0,0.0,5.0,38.0,3,1,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
A Choudhary,1,8.0,5.0,0.0,5.0,18.0,6,1,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
DA Warner,1,28.0,0.0,20.0,15.0,63.0,14,0,2,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
S Dhawan,1,55.0,0.0,0.0,15.0,70.0,40,0,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
MC Henriques,1,99.0,11.0,20.0,15.0,145.0,52,1,2,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
Yuvraj Singh,1,135.0,0.0,20.0,65.0,220.0,62,0,2,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
DJ Hooda,1,18.0,34.0,0.0,15.0,67.0,16,1,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
BCJ Cutting,1,60.0,30.0,10.0,15.0,115.0,16,1,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
NV Ojha,1,0.0,0.0,0.0,15.0,15.0,0,0,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
Bipul Sharma,1,0.0,52.0,0.0,15.0,67.0,0,1,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
B Kumar,1,0.0,71.0,0.0,15.0,86.0,0,2,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
A Nehra,1,0.0,58.0,0.0,15.0,73.0,0,2,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
Rashid Khan,1,0.0,68.0,0.0,15.0,83.0,0,2,0,2017,"Rajiv Gandhi International Stadium, Uppal",2017-04-05
